Title,Link,Maddy Rating,Hunter Rating,Date Cooked,Notes,,
Black Bean Sweet Potato Enchilada,Black Bean Sweet Potato Enchiladas - Cookie and Kate,5,,8/20/2020,,,
Creamy Thai Carrot Sweet Potato Soup,Creamy Thai Carrot Sweet Potato Soup - Cookie and Kate,5,,8/20/2020,,,
Strawberry Spoon Cake,Strawberry Spoon Cake Recipe - NYT Cooking,5,,8/20/2020,,,
"Lemony Pasta with Cauliflower, Chickpeas, Arugula",https://www.epicurious.com/recipes/food/views/lemony-pasta-with-cauliflower-chickpeas-and-arugula?intcid=inline_amp,5,,8/20/2020,,,
Warm Winter Vegetable Salad,https://www.bonappetit.com/recipe/warm-winter-vegetable-salad-with-halloumi,5,,12/10/2020,,,
Roasted Tomato and White Bean Stew,https://cooking.nytimes.com/recipes/1020926-roasted-tomato-and-white-bean-stew?action=click&module=Collection%20Page%20Recipe%20Card&region=Weekly%20Plan%2011%2F27&pgType=collection&rank=1,5,,12/20/2020,,,
Tofu with Soy Butter Corn,https://www.bonappetit.com/recipe/tofu-with-soy-butter-corn,5,,12/20/2020,,,
Raosted Salmon with Citrus Salsa Verde,https://www.bonappetit.com/recipe/roasted-salmon-salsa-verde,5,,12/20/2020,,,
Miso Polenta with Spring Vegetables and Tofu,https://www.bonappetit.com/recipe/miso-polenta-with-spring-vegetables-and-tofu,3,,12/20/2020,,,
Thai Pineapple Fried Rice,https://cookieandkate.com/thai-pineapple-fried-rice-recipe/,4,,12/25/2020,use leftover rice,,
Authentic Thai-Style Shrimp,https://www.onceuponachef.com/recipes/thai-ginger-and-sweet-red-chili-shrimp.html,5,,12/25/2020,,,
Cherry Rugelach with Cardamom Sugar,https://cooking.nytimes.com/recipes/1021662-cherry-rugelach-with-cardamom-sugar?action=click&module=RecipeBox&pgType=recipebox-page&region=all&rank=0,5,,12/25/2020,,,
Grammy's Spice Cookies,https://cooking.nytimes.com/recipes/1014421-grammys-spice-cookies?action=click&module=Collection%20Page%20Recipe%20Card&region=Christmas%20Cookie%20Recipes&pgType=collection&rank=59,5,,12/25/2020,,,
Za'atar Eggs with Lemony Yogurt and Herbs,https://www.halfbakedharvest.com/zaatar-eggs/,5,,1/10/2021,,`,2wwwddwe
Better Than Takeout Shrimp Pad Thai,https://www.halfbakedharvest.com/shrimp-pad-thai/,4,,1/10/2021,,,
30 Minute Creamy Sesame Miso Ramen,https://www.halfbakedharvest.com/creamy-sesame-miso-ramen/,3,1,1/10/2021,,,
One-Pot Tumeric Coconut Rice,https://cooking.nytimes.com/recipes/1019920-one-pot-turmeric-coconut-rice-with-greens?action=click&module=Collection%20Page%20Recipe%20Card&region=Weeknight%20Vegan&pgType=collection&rank=16,5,,1/10/2021,could use with any veggies,,
Black Lentil and Harissa Salad,https://www.bonappetit.com/recipe/black-lentil-and-harissa-roasted-veggie-bowl,5,,1/10/2021,,,
Black Pepper Tofu and Asparagus,https://www.bonappetit.com/recipe/black-pepper-tofu-and-asparagus,5,,1/10/2021,,,
"Baked Rice With White Beans, Leeks and Lemon",https://cooking.nytimes.com/recipes/1020273-baked-rice-with-white-beans-leeks-and-lemon,5,,1/31/2021,too many leeks! would be good with brocolini,,
Pasta Puttanesca,https://cooking.nytimes.com/recipes/11583-pasta-puttanesca,3,,1/31/2021,,,
Curried red lentil soup,https://cooking.nytimes.com/recipes/1019928-curried-red-lentil-soup-with-toasted-coconut?action=click&module=Recirculation%20Band%20Recipe%20Card&region=More%20from%20Easy%20Weeknight%20Dinners&pgType=recipedetails&rank=11,4,,1/31/2021,,,
Fish with Sizzling Olive Butter,https://cooking.nytimes.com/recipes/1020813-fish-with-sizzling-olive-butter?action=click&module=Collection%20Page%20Recipe%20Card&region=Our%2010%20Most%20Popular%20Recipes%20Right%20Now&pgType=collection&rank=6,4,,1/31/2021,fish a little undercooked,,
Carmelized Shallot Pasta,https://cooking.nytimes.com/recipes/1020830-caramelized-shallot-pasta,4,,2/11/2021,,,
Sheet Pan Harissa Salmon with Potatoes and Citrus,https://cooking.nytimes.com/recipes/1019962-sheet-pan-harissa-salmon-with-potatoes-and-citrus?action=click&module=Collection%20Page%20Recipe%20Card&region=Because%20the%20Dishwasher%20Is%20You%3A%2048%20Delicious%20One-Pot%20(or%20Pan)%20Dinners&pgType=collection&rank=37,5,,2/11/2021,,,
Sweet and Spicy Tofu with Soba Noodles,https://cooking.nytimes.com/recipes/1019471-sweet-and-spicy-tofu-with-soba-noodles?action=click&module=Collection%20Page%20Recipe%20Card&region=Because%20the%20Dishwasher%20Is%20You%3A%2048%20Delicious%20One-Pot%20(or%20Pan)%20Dinners&pgType=collection&rank=9,3,,2/11/2021,soba noodles disintigrated ,,
Green Curry Lentil Soup,https://www.bonappetit.com/recipe/green-curry-lentil-soup,4,,2/11/2021,,,
Make Ahead Lentil Salad,https://www.bonappetit.com/recipe/make-ahead-lentil-salad,4,,2/11/2021,,,
Vegetarian Bean Chili with Fritos,https://www.bonappetit.com/recipe/vegetarian-bean-chili-with-fritos,4,,2/11/2021,,,
Garlic Bread Grilled Cheese,https://www.bonappetit.com/recipe/garlic-bread-grilled-cheese,4,,2/27/2021,,,
Salmon Fried Rice,https://cooking.nytimes.com/recipes/1020152-salmon-fried-rice?action=click&module=Collection%20Page%20Recipe%20Card&region=Easy%20Weeknight%20Salmon&pgType=collection&rank=4,4,,2/27/2021,,,
Red Bean Stew,https://cooking.nytimes.com/recipes/1013868-red-bean-stew?action=click&module=Collection%20Page%20Recipe%20Card&region=Dishes%20That%20Taste%20Better%20on%20the%20Second%20(or%20Third)%20Day&pgType=collection&rank=17,3,,2/27/2021,,,
"Gingery Fried Rice with Bok Choy, Mushrooms and Basil",https://cooking.nytimes.com/recipes/1020857-gingery-fried-rice-with-bok-choy-mushrooms-and-basil?action=click&module=Collection%20Page%20Recipe%20Card&region=Quick%20Stir-Fries&pgType=collection&rank=5,2,,2/27/2021,,,
Sheet Pan Baked Feta with Brocollini Tomatoes and Lemon,https://cooking.nytimes.com/recipes/1021277-sheet-pan-baked-feta-with-broccolini-tomatoes-and-lemon?action=click&module=Collection%20Band%20Recipe%20Card&region=Sheet-Pan%20Dinners&pgType=supercollection&rank=1,4,,2/27/2021,,,
Lunch Nachos with Spiced Cauliflower,https://www.bonappetit.com/recipe/lunch-nachos-with-spiced-cauliflower,4,,2/27/2021,,,
Creamy Avocado Pesto Pasta,https://cooking.nytimes.com/recipes/1021230-creamy-avocado-pesto-pasta?action=click&module=Collection%20Band%20Recipe%20Card&region=Weeknight%20Vegetarian&pgType=supercollection&rank=5,3,,2/27/2021,,,
Rigatoni with Fennel and Anchovies,https://www.bonappetit.com/recipe/rigatoni-with-fennel-and-anchovies,4,,2/27/2021,,,
Mushroom and Burrata Lasagnette,https://www.bonappetit.com/recipe/mushroom-and-burrata-lasagnette,4,,2/27/2021,,,
Lemony Orzo With Asparagus and Garlic Bread Crumbs,https://cooking.nytimes.com/recipes/1021068-lemony-orzo-with-asparagus-and-garlic-bread-crumbs,5,,3/20/2021,,,
Pasta Alla Norma,https://cooking.nytimes.com/recipes/1014832-pasta-alla-norma?action=click&module=Collection%20Band%20Recipe%20Card&region=Easy%20Weeknight%20Dinners&pgType=supercollection&rank=6,3,,3/20/2021,,,
Vegetarian Skillet Chili,https://cooking.nytimes.com/recipes/1017704-vegetarian-skillet-chili?action=click&module=Collection%20Band%20Recipe%20Card&region=Weeknight%20Vegetarian&pgType=supercollection&rank=7,3,,3/20/2021,,,
Baked Tofu with Peanut Sauce and Coconut Lime Rice,https://cooking.nytimes.com/recipes/1020530-baked-tofu-with-peanut-sauce-and-coconut-lime-rice?action=click&module=Local%20Search%20Recipe%20Card&pgType=search&rank=6,3,,3/20/2021,sauce too thick,,
